id,Relative_Relief_751,SPI751,TWI_FINAL751,Flow_Accumulation_clean751,aspect751,slope751,Elevation1,Distance_to_River,Drainage_Density,Landslide
225,13.41096497,1.818277955,6.195641041,22.22135925,240.7443695,10.50203991,49.68925858,1731.04,1.7993,0
226,14.28853416,0.999751866,3.27865696,4.704715729,158.5150452,10.83667564,9.84129715,2015.67,1.6152,0
227,47.05249023,2.097642422,1.87184155,3.73452878,336.6538391,32.45905304,292.5397339,2522.57,3.6,0
228,6.12620163,54.08386993,-0.546596587,5.791701317,252.1260529,4.654995441,25.00682068,2477.39,1.1761,1
229,9.531524658,0.397570431,1.262435555,1.054453135,305.1085815,7.356790543,33.67847824,2543.77,1.3401,0
230,35.84527588,-0.104233503,16.46533966,1.48370409,128.3695984,24.01149368,267.1641846,874.57,2.5017,0
231,34.73410034,4.870538712,0.885019183,3.450181484,162.5396729,26.25378227,148.6611176,2533.35,2.5909,0
232,13.43542385,-12.90144539,21.04984474,3.990052938,351.5717773,9.893697739,16.72493362,346.31,1.4954,0
233,21.93341064,-24.28869438,18.69344139,14.40558243,133.4223022,14.52072239,275.8659363,621.94,1.6448,0
234,18.91802979,1.927664518,2.180941343,3.976228952,177.4348755,9.260422707,76.75883484,2251.04,1.5245,0
235,20.84949493,-10.1743288,17.42471313,4.12769556,255.0324554,16.45559311,121.8045883,559.52,2.0787,0
236,5.582456589,-41.87912369,17.92287254,6.904239655,272.8852234,4.751812458,10.86402988,772.71,0.7902,0
237,3.387889862,2.166275024,0.093704849,1.513254762,277.1733704,2.283561945,62.8557663,2356.42,1.0534,0
238,3.554094315,6.497720242,3.922913313,15.55284309,228.1386566,2.268288612,13.5044651,1840.63,1.0811,0
239,26.02336121,1.761422157,0.829756141,1.907831907,63.86043549,23.00827789,158.5943756,2464.28,2.6294,1
240,18.58625793,14.04810143,0.56556797,4.881965637,183.3049011,15.31470966,95.814888,2256.83,2.2282,1
241,18.4245491,-28.91641998,19.03861809,18.03512383,122.0719376,13.38398075,30.57824135,768.78,2.0222,1
242,26.84698486,1.983303308,2.674739122,5.308569908,177.1481934,22.21528625,356.2499084,2431.77,2.3469,0
243,26.53608704,2.585247993,0.830476344,2.323530197,348.0333252,17.74333572,160.3983917,2598.9,2.0102,0
244,29.28408813,-375.7571716,17.88706398,5.638371468,17.92751312,9.492994308,40.70591354,600.18,1.695,0
245,11.66479492,27.19544792,-2.711860895,1.190823436,273.3710327,7.079724789,604.5457764,2507.73,1.3005,0
246,16.08733368,11.07327366,1.24923265,5.72344923,117.5900574,12.09571648,122.3812637,2563.24,1.516,0
247,5.202177048,5.292962074,2.876755238,6.803514004,44.168293,3.128133535,32.13547897,2148.45,1.6078,0
248,45.82290649,-59.14604187,17.88495445,7.682698727,129.5830841,24.65972328,178.1296387,898.64,2.5801,0
249,3.092590332,-32.76790619,18.94356537,16.12539673,285.9921265,1.761526465,794.6066895,789.98,0.9119,0
250,17.62360001,-61.46516037,19.96099472,48.65426254,40.58333206,10.92498398,-18.4146309,631.7,1.2411,0
